operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;bdb-warmup-mean;bdb-warmup-stdev;bdb-warmup-min;bdb-warmup-max;
OperationOpenGraph;2.2517888041666668E7;6.3445508016710654E7;1096501.0;2.47173541E8;3.1353803791666668E7;1.043079254932535E8;1355278.0;4.7984256E8;
OperationDeleteGraph;1.526971E7;0.0;1.526971E7;1.526971E7;3.4380269E7;0.0;3.4380269E7;3.4380269E7;
OperationShutdownGraph;5.032286040875E9;2.4089252041941956E10;1537.0;1.20560277614E11;5.556736708875E9;2.6600658987668007E10;14693.0;1.33129012341E11;
OperationDoGC;5.378024533583333E9;5.858895866685281E8;3.419225126E9;5.600887239E9;5.3720103415E9;5.791869462537247E8;3.442985737E9;5.639208264E9;
OperationLoadGraphML-barabasi_1000000_5000000;2.356602784191E12;0.0;2.356602784191E12;2.356602784191E12;2.462135801239E12;0.0;2.462135801239E12;2.462135801239E12;
OperationGetManyVertices;2.6230435E7;0.0;2.6230435E7;2.6230435E7;2.6499577E7;0.0;2.6499577E7;2.6499577E7;
OperationGetManyVertexProperties;4.6210664E7;0.0;4.6210664E7;4.6210664E7;6.9116862E7;0.0;6.9116862E7;6.9116862E7;
OperationGetManyEdges;3.1636655E7;0.0;3.1636655E7;3.1636655E7;3.0639253E7;0.0;3.0639253E7;3.0639253E7;
OperationGetManyEdgeProperties;5.0265686E7;0.0;5.0265686E7;5.0265686E7;5.8093497E7;0.0;5.8093497E7;5.8093497E7;
OperationGetFirstNeighbor;67167.934;45500.92945687641;13971.0;1081421.0;82696.395;52099.95046543689;17236.0;1005767.0;
OperationGetRandomNeighbor;153830.492;188883.38874862442;17285.0;2633355.0;200313.43;355157.69090198114;17836.0;8327972.0;
OperationGetAllNeighbors;279321.213;499159.45313830505;12367.0;8020617.0;297719.801;475448.9262259443;17954.0;3983722.0;
OperationGetKFirstNeighbors;108938.6264;86323.83703749982;8680.0;1255710.0;120491.8804;94849.3866293846;12575.0;1339819.0;
OperationGetKRandomNeighbors;222943.2122;321774.0484175627;9227.0;5638881.0;235745.0562;436020.58430533775;9172.0;2.0319575E7;
OperationGetKHopNeighbors;4.4312503866E7;1.441884940685002E9;9087.0;9.7993982999E10;3.27644666086E7;8.391177748368607E8;9108.0;5.6108238932E10;
