operation;hollow-mean;hollow-stdev;hollow-min;hollow-max;hollow-warmup-mean;hollow-warmup-stdev;hollow-warmup-min;hollow-warmup-max;
OperationOpenGraph;14314.25;13657.2921036407;8927.0;72575.0;622426.9583333334;2932228.692364087;6309.0;1.4684813E7;
OperationDeleteGraph;3358.0;0.0;3358.0;3358.0;29555.0;0.0;29555.0;29555.0;
OperationShutdownGraph;1913.875;616.2684961727315;857.0;3201.0;1901.0416666666667;2407.2922284724577;934.0;13201.0;
OperationDoGC;3.3812313949583335E9;1.1171861447046341E7;3.372266464E9;3.427870879E9;3.3965940007916665E9;1.3917154307935199E7;3.367826592E9;3.431242277E9;
OperationLoadGraphML-barabasi_1000000_5000000;1.7464502629E10;0.0;1.7464502629E10;1.7464502629E10;1.915490763E10;0.0;1.915490763E10;1.915490763E10;
OperationGetManyVertices;94348.0;0.0;94348.0;94348.0;136955.0;0.0;136955.0;136955.0;
OperationGetManyVertexProperties;143376.0;0.0;143376.0;143376.0;172605.0;0.0;172605.0;172605.0;
OperationGetManyEdges;389409.0;0.0;389409.0;389409.0;453970.0;0.0;453970.0;453970.0;
OperationGetManyEdgeProperties;76288.0;0.0;76288.0;76288.0;103350.0;0.0;103350.0;103350.0;
OperationGetFirstNeighbor;3869.361;1784.1169991564468;1122.0;14711.0;9856.888;31565.148587666376;2797.0;1003183.0;
OperationGetRandomNeighbor;7789.702;3737.8849595989423;1791.0;32106.0;9952.71;4256.729253065086;3296.0;94849.0;
OperationGetAllNeighbors;4177.349;2128.8529148813914;1649.0;20469.0;6063.569;3093.170654076332;3116.0;75254.0;
OperationGetKFirstNeighbors;723.2392;442.2263596659069;160.0;10688.0;4599.4586;3053.9481675179127;316.0;67838.0;
OperationGetKRandomNeighbors;2330.122;1620.9342962365877;376.0;28216.0;6077.4704;4422.297063238047;1251.0;71637.0;
OperationGetKHopNeighbors;139568.2126;292483.2545202192;565.0;3517744.0;160936.2108;338127.9078911284;566.0;5325430.0;
