size;bdb;dex;dup;neo;sql
BASE;3463.145542;3418.109440;3481.021883;3629.966840;3528.416172
1000;3477.359403;3423.192898;3487.537125;3623.031552;3521.019556
1100;3462.017391;3412.861468;3455.623821;3601.998554;3500.900112
1200;3464.726092;3421.467008;3454.755868;3591.230137;3509.752279
1300;3457.769215;3416.389102;3460.097552;3594.936365;3505.785415
1400;3454.103931;3420.438590;3467.247420;3598.090856;3504.880844
1500;3458.387500;3419.809420;3453.919786;3612.043569;3509.223061
1600;3453.861899;3418.622921;3457.699940;3599.161719;3506.196800
1700;3467.145803;3418.634223;3457.483184;3602.506803;3499.087777
1800;3453.665903;3427.877770;3460.244167;3608.763358;3497.623215
1900;3463.399819;3419.009448;3459.729047;3601.908164;3496.511920
2000;3453.423657;3421.467382;3453.587517;3603.449897;3498.077571
