size;bdb;dex;dup;neo;sql
BASE;0.203520;0.040649;0.038323;0.036195;0.658208
1000;0.207755;0.038101;0.037835;0.028575;0.661384
1100;0.174977;0.043339;0.038995;0.029153;0.713703
1200;0.178544;0.044163;0.044399;0.024444;0.695210
1300;0.183215;0.037659;0.039783;0.039586;0.643801
1400;0.185347;0.033132;0.041097;0.027060;0.699122
1500;0.205475;0.039068;0.035503;0.031174;0.672873
1600;0.159764;0.040197;0.032206;0.025874;0.570218
1700;0.169781;0.047892;0.045957;0.030022;0.550133
1800;0.148332;0.041442;0.034319;0.032591;0.753347
1900;0.176645;0.044386;0.045008;0.025556;0.657142
2000;0.178247;0.034767;0.048027;0.032394;0.727759
