size;bdb;dex;dup;neo;sql
BASE;0.056580;0.031993;0.027007;0.029737;0.333341
1000;0.041306;0.030056;0.024730;0.046007;0.297568
1100;0.052562;0.059808;0.037686;0.030165;0.336533
1200;0.050945;0.058370;0.025488;0.037313;0.314853
1300;0.053583;0.042722;0.021522;0.023499;0.329342
1400;0.046282;0.032248;0.019837;0.027992;0.358036
1500;0.050782;0.029482;0.021966;0.030631;0.344820
1600;0.057342;0.033539;0.020511;0.026832;0.370360
1700;0.050940;0.044428;0.025783;0.034203;0.373430
1800;0.059400;0.032583;0.021349;0.032445;0.343653
1900;0.057878;0.029219;0.027374;0.030472;0.372991
2000;0.059321;0.055696;0.025011;0.032055;0.379871
