size;bdb;dex;dup;neo;sql
BASE;0.080648;0.040290;0.036075;0.034307;0.323413
1000;0.067583;0.044008;0.028924;0.034389;0.322932
1100;0.069614;0.054780;0.031161;0.034393;0.345536
1200;0.073540;0.052960;0.035072;0.026086;0.367613
1300;0.092552;0.082536;0.034707;0.031505;0.407139
1400;0.078107;0.040422;0.023681;0.030875;0.412877
1500;0.153090;0.051153;0.030239;0.043061;0.430658
1600;0.087406;0.046330;0.023839;0.036813;0.462592
1700;0.083412;0.051874;0.035821;0.036700;0.455719
1800;0.082068;0.058455;0.027805;0.035666;0.489251
1900;0.086919;0.047146;0.038660;0.035469;0.458708
2000;0.086805;0.040278;0.032204;0.038232;0.358691
