size;bdb;dex;dup;neo;sql
BASE;4.636459;0.434570;0.570325;0.094199;19.085535
1000;3.207566;0.442635;0.434445;0.073638;14.943487
1100;4.623855;0.768167;0.616463;0.093607;31.134108
1200;5.606859;0.823273;0.814451;0.112381;35.887394
1300;6.615178;0.925479;0.875586;0.133465;45.175914
1400;8.060281;1.070336;1.043633;0.144405;47.984714
1500;8.810343;1.190299;1.180077;0.162831;55.956811
1600;9.256627;1.461238;1.313450;0.181109;58.542837
1700;10.283022;1.408393;1.434671;0.183271;63.976473
1800;11.190281;1.364457;1.383407;0.202273;65.486730
1900;11.646940;1.593407;1.518773;0.206439;69.840309
2000;12.321109;1.531761;1.549983;0.211778;73.624453
