size;bdb;dex;dup;neo;sql
BASE;0.143682;0.036520;0.038657;0.028629;0.349827
1000;0.177326;0.046331;0.039029;0.025301;0.278445
1100;0.152170;0.045125;0.033655;0.024033;0.359674
1200;0.188633;0.053062;0.036775;0.024756;0.370505
1300;0.175460;0.037777;0.038695;0.029915;0.372049
1400;0.173699;0.041559;0.032939;0.030015;0.394752
1500;0.173853;0.039794;0.048004;0.033750;0.414268
1600;0.189238;0.054075;0.044302;0.035231;0.434961
1700;0.179723;0.043117;0.042421;0.033679;0.435793
1800;0.194808;0.052818;0.042045;0.038344;0.405524
1900;0.204620;0.060502;0.050707;0.038358;0.458508
2000;0.195745;0.055033;0.055614;0.031840;0.475507
