size;bdb;dex;dup;neo;sql
BASE;37.511527;12.095542;25.240008;20.898370;292.957109
1000;17.543177;1.895139;23.982437;14.944329;221.231644
1100;19.228750;1.943094;25.903851;15.089438;201.904997
1200;19.647286;1.912663;22.428746;14.002880;187.244668
1300;22.172918;1.876735;22.555598;23.614338;184.294248
1400;18.715193;2.041781;22.272129;15.671187;170.378925
1500;18.258631;1.875710;21.385932;23.241949;171.999969
1600;17.950601;1.898890;19.433699;14.910522;95.263575
1700;18.697544;1.971659;19.026735;17.193702;192.798590
1800;19.933533;1.811511;20.893475;13.982375;203.334623
1900;18.762297;1.835348;19.986090;13.372324;215.871204
2000;18.381515;1.819010;21.294810;12.871517;231.318224
