size;bdb;dex;dup;neo;sql
BASE;19.551801;0.979808;4.571895;0.868296;174.181206
1000;16.120115;0.937083;3.754646;0.789750;195.154289
1100;17.075741;1.146542;6.105460;0.861701;172.758000
1200;16.488693;1.031911;5.922629;0.870981;221.194407
1300;16.824066;1.050520;6.223239;1.118150;222.160544
1400;16.844913;1.181676;5.960661;0.816897;174.537539
1500;16.523984;1.202838;6.220767;0.908232;131.939987
1600;17.156295;1.183478;6.381033;0.765065;227.010086
1700;15.860386;1.175072;6.348940;1.034696;176.041370
1800;16.984570;1.015595;6.521118;0.814528;93.302792
1900;15.999898;1.151520;6.509064;0.796704;166.099129
2000;16.829658;1.079176;6.801020;0.793777;183.121710
