size;bdb;dex;dup;neo;sql
BASE;34.817980;11.981800;20.345931;10.292257;252.112917
1000;15.498823;3.065664;28.963605;9.810367;100.614032
1100;15.964196;2.124725;22.839394;14.706972;119.528473
1200;17.022907;3.054303;22.927154;24.184528;119.863966
1300;17.279866;1.972638;19.156564;16.803276;130.425626
1400;17.886307;2.953496;18.316933;20.185273;83.977835
1500;16.977008;2.879886;20.098128;17.685523;123.207138
1600;17.504233;2.130738;19.121523;18.833227;115.098527
1700;16.675834;2.813159;17.330002;10.937372;142.258919
1800;16.975143;2.248067;16.396468;10.623347;147.930868
1900;16.768779;2.169389;19.617964;17.433874;140.995308
2000;17.321239;3.902849;15.136451;12.174111;165.919941
