size;bdb;dex;dup;neo;sql
BASE;16.344417;0.634041;1.492229;0.346474;74.335871
1000;12.768210;0.659785;1.421237;0.401463;100.944718
1100;13.150413;1.246273;1.640219;2.725277;77.472659
1200;13.621186;1.097613;1.546296;1.636273;160.174901
1300;13.452342;1.065220;1.715452;1.163215;115.901446
1400;13.652182;1.549555;1.658808;0.981353;117.828453
1500;13.352912;1.134371;1.679139;0.677843;120.782165
1600;13.825361;1.216372;1.607480;0.715915;134.128818
1700;12.843176;1.214443;1.686555;0.744397;114.531794
1800;13.112898;1.184600;1.570370;0.729731;114.812726
1900;13.927198;1.244851;1.673128;0.826482;105.603693
2000;14.155363;1.197443;1.642402;0.699209;124.991271
