size;bdb;dex;dup;neo;sql
BASE;0.123555;0.028865;0.033193;0.027334;0.231653
1000;0.104995;0.054252;0.038912;0.034791;0.145314
1100;0.138569;0.034793;0.034927;0.038122;0.251766
1200;0.103107;0.033410;0.046572;0.037074;0.267094
1300;0.105575;0.034223;0.026406;0.027115;0.245101
1400;0.113860;0.046584;0.029068;0.027877;0.212228
1500;0.116584;0.034328;0.034220;0.037905;0.173382
1600;0.119181;0.043105;0.040338;0.036818;0.304006
1700;0.114584;0.033400;0.034555;0.031984;0.298070
1800;0.109279;0.043580;0.030142;0.036122;0.288941
1900;0.101336;0.062948;0.029503;0.040341;0.271414
2000;0.108824;0.065875;0.036306;0.031652;0.298248
