size;bdb;dex;dup;neo;sql
BASE;8.090543;2.614579;2.667386;1.576985;12.664113
1000;5.094077;1.361621;1.117214;0.483558;7.725141
1100;10.933971;2.349912;2.129097;0.847699;13.879334
1200;13.179838;3.303797;2.098967;1.408507;19.021623
1300;14.476440;3.647849;2.857865;1.838280;26.594001
1400;18.959611;4.772446;4.114727;2.070775;32.884638
1500;26.498230;5.791754;4.474107;2.781123;38.871897
1600;29.580450;6.462633;5.489017;2.885018;43.285855
1700;30.887141;7.577915;6.157860;3.511169;47.628703
1800;36.209360;6.842640;6.221684;3.411917;51.905330
1900;38.488431;7.770730;7.242947;3.970790;55.049687
2000;43.546533;8.685750;8.316281;4.099539;59.982035
