size;bdb;dex;dup;neo;sql
BASE;9628.845026;523.367761;887.448685;171.302006;32410.898188
1000;3932.167719;297.641567;412.859593;85.513226;15988.261101
1100;3969.232683;328.300883;448.840792;92.238328;16935.177231
1200;4180.867177;349.583992;481.973199;137.584129;19187.983913
1300;4513.352831;373.314158;513.040753;102.149671;19796.454314
1400;4628.372728;384.586242;530.964930;97.889031;22434.990026
1500;5200.755189;404.043838;528.355242;107.859495;24241.284463
1600;5071.444564;429.757700;613.704978;132.245820;26246.898677
1700;5316.171685;471.657627;638.948195;117.251040;27266.101912
1800;5542.945387;492.766620;626.680740;136.966236;30145.256322
1900;5811.048440;493.318676;690.886670;131.592195;31701.260969
2000;6349.219900;501.838003;686.700016;130.880800;33647.334936
