size;bdb;dex;dup;neo;sql
BASE;2733.565177;723.950749;605.056355;2237.929719;6006.282791
1000;969.547213;259.371179;345.241661;1053.797417;3215.214937
1100;497.936361;218.138170;248.575892;578.324558;1435.752791
1200;509.189545;222.537760;260.192994;555.563018;1757.394853
1300;527.562760;222.214157;317.325952;553.671036;1855.990265
1400;562.301428;251.255251;323.028706;564.880691;2064.033656
1500;592.519131;238.182562;300.551354;600.869095;1555.886183
1600;624.485754;228.391885;314.734259;586.083638;2039.117431
1700;648.015900;240.490542;381.756659;641.110787;2555.265866
1800;660.893501;260.464902;345.041572;586.772830;2722.149446
1900;722.914786;268.753861;295.597024;562.013902;2925.089077
2000;682.798251;246.072867;361.856849;585.203989;2347.321145
