size;bdb;dex;dup;neo;sql
BASE;1810.913766;141.691575;207.969607;48.300496;7173.690047
1000;747.090420;82.850112;104.013337;24.200194;3235.096397
1100;922.049443;107.539256;116.509663;27.422816;4645.928232
1200;1059.014358;121.035410;137.244616;29.048259;5366.107011
1300;1216.873978;129.685555;152.189938;31.413764;6824.984692
1400;1365.979619;144.018149;159.456743;33.772290;6694.123529
1500;1498.555740;148.110113;184.864884;40.832971;8424.459427
1600;1627.109099;170.910241;195.437889;42.444183;9927.834049
1700;1713.223757;168.840255;217.855252;44.579485;11261.654004
1800;1899.612484;184.729137;216.094404;47.523699;11209.769198
1900;1991.736206;200.419708;233.761140;48.569627;12935.449925
2000;2082.257780;201.971560;245.819880;58.252111;14201.212928
