size;bdb;dex;dup;neo;sql
BASE;18.811876;0.783575;12.465593;156.135865;21.114440
1000;15.469825;0.829063;14.064486;155.666273;19.504615
1100;1.559741;0.798115;1.074191;46.253794;11.793966
1200;1.593778;0.803454;1.075067;46.743667;11.417905
1300;1.438520;0.825282;1.211048;47.570178;11.385235
1400;1.631662;0.921688;1.292243;48.659149;10.941675
1500;1.449368;0.841613;1.211462;46.876901;11.309465
1600;1.493063;0.765824;1.183801;46.320708;11.034815
1700;1.580478;0.786506;1.380965;47.058065;11.220333
1800;1.639631;0.833137;1.132243;44.824390;11.597183
1900;1.642548;0.953448;1.117262;47.052130;11.010011
2000;1.687774;0.798991;4.906362;47.575239;11.396179
