size;bdb;dex;dup;neo;sql
BASE;21.015859;638.993906;7.501655;379.807350;0.518181
1000;15.584160;382.799604;6.846449;405.397729;0.504247
1100;14.292391;1060.300363;5.751205;419.653214;0.545181
1200;17.901757;1375.263848;5.500791;421.856878;0.557440
1300;14.319168;2552.461457;5.497882;426.799943;0.558898
1400;13.142988;3333.856745;5.552410;431.490692;0.555066
1500;15.809995;2444.838539;6.385586;429.932946;0.570820
1600;19.395240;3170.397333;7.434814;426.508513;0.569690
1700;15.253619;3335.119228;7.155424;419.433644;0.581121
1800;18.420670;3449.229023;5.334474;433.728592;0.516296
1900;18.193164;4092.474038;6.287865;439.862597;0.585118
2000;15.701962;5029.267838;6.766959;434.499773;0.553883
