operation;neo-mean;neo-stdev;neo-min;neo-max;neo-warmup-mean;neo-warmup-stdev;neo-warmup-min;neo-warmup-max;
OperationOpenGraph;1.944338035E8;4.545851875637779E8;4.6168658E7;1.780996314E9;2.3388200429166666E8;6.345367295217148E8;3.9567634E7;2.818832777E9;
OperationDeleteGraph;4.27341729E8;0.0;4.27341729E8;4.27341729E8;4.54485339E8;0.0;4.54485339E8;4.54485339E8;
OperationShutdownGraph;7.64881635875E8;1.1039335770134034E9;1953.0;5.937119298E9;7.589521271666666E8;1.1137074199936724E9;15333.0;5.975611916E9;
OperationDoGC;5.635871288416667E9;5.902425197083013E8;3.582459102E9;6.190856958E9;5.687679085541667E9;7.295290424758602E8;3.507250901E9;7.806021448E9;
OperationLoadGraphML-barabasi_1000000_5000000;2.785929803471E12;0.0;2.785929803471E12;2.785929803471E12;2.918854537283E12;0.0;2.918854537283E12;2.918854537283E12;
OperationGetManyVertices;992837.0;0.0;992837.0;992837.0;3.9900773E7;0.0;3.9900773E7;3.9900773E7;
OperationGetManyVertexProperties;1.3026758E7;0.0;1.3026758E7;1.3026758E7;1.9559457E7;0.0;1.9559457E7;1.9559457E7;
OperationGetManyEdges;3178681.0;0.0;3178681.0;3178681.0;3207053.0;0.0;3207053.0;3207053.0;
OperationGetManyEdgeProperties;1.9539171E7;0.0;1.9539171E7;1.9539171E7;2.4713871E7;0.0;2.4713871E7;2.4713871E7;
OperationGetFirstNeighbor;31619.689;17840.541124592593;19004.0;194368.0;36731.753;20607.002128499695;20506.0;228254.0;
OperationGetRandomNeighbor;37983.893;135124.5289939822;9394.0;4277174.0;43345.655;104431.6926306569;5105.0;3271700.0;
OperationGetAllNeighbors;30666.204;18648.888978070092;18878.0;357535.0;39045.933;26028.241279204998;6737.0;305682.0;
OperationGetKFirstNeighbors;38914.731;39809.3285267993;1336.0;2280590.0;46812.1382;161355.59148200793;1911.0;9642774.0;
OperationGetKRandomNeighbors;49554.7788;117913.25742417875;5270.0;7051864.0;53361.8248;88476.56498982597;4138.0;5514349.0;
OperationGetKHopNeighbors;2.01001208406E7;9.151495920256965E8;3318.0;5.9895004334E10;1.48970832668E7;6.323878359801731E8;3346.0;4.3633223835E10;
