operation;rdf-mean;rdf-stdev;rdf-min;rdf-max;rdf-warmup-mean;rdf-warmup-stdev;rdf-warmup-min;rdf-warmup-max;
OperationOpenGraph;3721338.16;4666804.909657825;1934354.0;2.6102325E7;1.039740028E7;3.3373553814118393E7;1738791.0;1.73298476E8;
OperationDeleteGraph;845544.0;0.0;845544.0;845544.0;2185351.0;0.0;2185351.0;2185351.0;
OperationShutdownGraph;2673681.24;5519241.869192103;1214.0;2.0538542E7;2854059.64;5420384.443361758;13039.0;2.1334302E7;
OperationDoGC;3.53922090828E9;1.6367503874629823E7;3.501154893E9;3.569215781E9;3.52941781596E9;2.3008760555271834E7;3.455092692E9;3.577348542E9;
OperationLoadGraphML-barabasi_1000_5000;1.050424224E9;0.0;1.050424224E9;1.050424224E9;2.131388122E9;0.0;2.131388122E9;2.131388122E9;
OperationGetManyVertices;4.5522002E7;0.0;4.5522002E7;4.5522002E7;6.5866981E7;0.0;6.5866981E7;6.5866981E7;
OperationGetManyVertexProperties;2.4867773E7;0.0;2.4867773E7;2.4867773E7;3.2945283E7;0.0;3.2945283E7;3.2945283E7;
OperationGetManyEdges;3.8234759E7;0.0;3.8234759E7;3.8234759E7;5.0341457E7;0.0;5.0341457E7;5.0341457E7;
OperationGetManyEdgeProperties;2.4562519E7;0.0;2.4562519E7;2.4562519E7;3.2663336E7;0.0;3.2663336E7;3.2663336E7;
OperationGetFirstNeighbor;30710.177;11221.048696965498;6931.0;104010.0;41880.661;27837.6271628183;9398.0;689247.0;
OperationGetRandomNeighbor;42284.827;34710.02508522677;7518.0;453554.0;48272.231;48404.52841296606;9770.0;966677.0;
OperationGetAllNeighbors;64644.265;86577.02110675082;7397.0;1474885.0;80181.104;120043.13125278417;8974.0;1618848.0;
OperationGetKFirstNeighbors;74789.0176;61702.811986975896;4974.0;468299.0;88229.9828;67695.68484954198;6577.0;502820.0;
OperationGetKRandomNeighbors;40286.0626;38276.24020939723;5331.0;483812.0;44674.6504;38482.78527637229;6628.0;534274.0;
OperationGetKHopNeighbors;1839501.2144;8695865.047997648;5386.0;1.12838989E8;2139060.895;9426442.65252205;5434.0;1.16216896E8;
OperationGetShortestPath;4012854.34;1.2620319429841937E7;6839.0;8.1972363E7;3865796.736;1.2214023136891369E7;1517.0;9.5419902E7;
