id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];180337662;DONE;20282047;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];560239;DONE;20282047;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1099;DONE;20282047;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3381397391;DONE;19244999;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];182504247;DONE;20309823;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];369635132668;DONE;173945343;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];34113927998;DONE;173945343;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3456532016;DONE;19281391;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];824677;DONE;20358159;
9;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[901176, 156405];67575;0:1:0;156207103;
10;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[428562, 375758];980861;0:55:54;156207103;
11;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[148207, 32325];5966375;0:387:386;157284791;
12;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[300497, 353174];389060;0:27:26;157284791;
13;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[79302, 591236];37481275;0:1958:1960;158362471;
14;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[369685, 411173];160109;0:11:10;158362471;
15;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[87851, 825531];519856647;0:10880:10976;164828575;
16;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[347041, 366560];272460;0:18:17;164828575;
