id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];388011159;DONE;1461672;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];1519934;DONE;31616023;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];17575;DONE;31616023;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3422120539;DONE;19385335;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];183702953;DONE;19743615;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];630508658505;DONE;206580007;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];38894991368;DONE;206580007;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3491531959;DONE;19261431;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1573371;DONE;20339823;
9;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[708244, 745261];18909678;0:2:1;179462815;
10;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[243603, 326071];20340904;0:245:244;179462815;
11;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[177186, 167831];8493953;0:192:191;179462815;
12;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[89637, 837956];41253560;0:1235:1235;180542239;
13;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[740923, 553076];56988;0:2:1;180542239;
14;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[392435, 85090];750072;0:30:29;180542239;
15;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[548898, 58618];27839;0:1:0;180542239;
16;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[133283, 274770];111256011;0:3235:3242;182717463;
17;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[637133, 119829];76580;0:3:2;182717463;
18;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[894202, 201806];27006;0:1:0;182717463;
19;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[11120, 33630];8304114392057;0:723915:1599014;277683143;
20;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[874638, 420079];107700;0:2:1;277683143;
21;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[26319, 668619];1410746090;0:19394:19704;289789215;
22;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[553191, 434352];253031;0:4:3;289789215;
23;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[753545, 919699];88882;0:6:5;289789215;
24;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[482936, 913833];105237;0:7:6;289789215;
25;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[314396, 299846];2123183;0:145:144;289789215;
26;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[522361, 844027];133540;0:9:8;289789215;
27;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[750944, 367266];18446;0:1:0;289789215;
28;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[398701, 479696];330380;0:24:23;289789215;
29;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[854299, 523133];35158;0:2:1;289789215;
30;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[876378, 939296];16890;0:1:0;289789215;
31;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[518221, 83269];115354;0:8:7;289789215;
32;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[960530, 290029];19030;0:1:0;289789215;
33;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[606838, 426515];52070;0:3:2;289789215;
34;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[504053, 12721];189279;0:13:12;289789215;
35;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[29603, 453239];56897220667;0:110299:121282;309550591;
36;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[306338, 806991];2214329;0:151:150;309550591;
37;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[702002, 549306];19735;0:1:0;309550591;
38;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[292824, 799728];391270;0:28:27;309550591;
39;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[337096, 744032];49340;0:3:2;309550591;
40;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[646752, 353700];35576;0:2:1;309550591;
41;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[560865, 775039];18813;0:1:0;309550591;
42;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[827959, 838121];117164;0:8:7;309550591;
43;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[673386, 328590];50068;0:3:2;309550591;
44;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[258280, 919329];3439287;0:239:238;309550591;
45;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[488268, 810907];168768;0:12:11;309550591;
46;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[79114, 157244];9690735;0:626:625;309550591;
47;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[74332, 624146];16297305;0:971:971;310062999;
48;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[793923, 952063];20385;0:1:0;310062999;
49;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[896409, 70081];35672;0:2:1;310062999;
50;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[796918, 175708];63368;0:4:3;310062999;
51;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[806200, 685271];16719;0:1:0;310062999;
52;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[758901, 143811];18673;0:1:0;310062999;
53;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[569518, 23336];74438;0:5:4;310062999;
54;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[592238, 936569];92081;0:6:5;310062999;
55;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[132814, 643178];23270397;0:343:342;259921111;
56;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[249118, 460589];240002;0:16:15;259921111;
57;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[629762, 336382];61865;0:4:3;259921111;
58;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[920775, 58886];35975;0:2:1;259921111;
59;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[207755, 432680];2136705;0:133:132;259921111;
60;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[300050, 922475];919387;0:58:57;259921111;
61;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[114539, 359307];13710576;0:806:805;259921111;
