id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];311000159;DONE;21647183;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];428235538;DONE;23522607;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2451;DONE;23522607;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3581533097;DONE;19604039;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1628977983;DONE;24703831;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];2936118998953;DONE;421164263;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];5378404983;DONE;422953903;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3857621145;DONE;34417295;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];69277437;DONE;36362823;
9;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[592056, 268326];123090;0:20:19;482158735;
10;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[255853, 550783];583255;0:106:105;482158735;
11;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[841597, 870845];9544;0:2:1;482158735;
12;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[439171, 855297];76458;0:13:12;482158735;
13;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[165530, 790001];1779631;0:285:284;483240031;
14;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[811266, 909413];13841;0:4:3;483240031;
15;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[252975, 721704];100129;0:14:13;483240031;
16;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[707147, 747342];7613;0:2:1;483240031;
17;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[328402, 141360];99677;0:13:12;483240031;
18;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[808300, 562996];4937;0:1:0;483240031;
19;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[679713, 590176];22859;0:2:1;483240031;
20;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[597898, 767838];32571;0:4:3;483240031;
21;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[278157, 673852];744032;0:161:160;484321327;
22;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[299621, 907922];265574;0:48:47;484321327;
23;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[116678, 709096];1200973;0:216:215;485402655;
24;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[288551, 616283];74109;0:2:1;485402655;
25;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[781025, 661439];16244;0:5:4;485402655;
26;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[803371, 563010];9687;0:3:2;485402655;
27;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[811870, 132069];4898;0:1:0;485402655;
28;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[286196, 57670];175765;0:31:30;485402655;
29;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[616396, 671900];24510;0:4:3;485402655;
30;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[829698, 557426];14117;0:5:4;485402655;
31;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[44245, 627883];2088717420;0:19061:19381;414570327;
32;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[20720, 839063];24630427871;0:94293:101995;358143647;
33;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[255430, 59535];187246;0:32:31;359224951;
34;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[935419, 4240];5070;0:1:0;359224951;
35;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[176743, 2951];1692732;0:273:272;360306247;
36;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[163056, 804725];1978190;0:322:321;362468839;
37;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[668392, 505049];14242;0:1:0;362468839;
38;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[513843, 997937];71524;0:8:7;362468839;
39;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[504058, 402577];70692;0:8:7;362468839;
40;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[500853, 573069];26295;0:2:1;362468839;
41;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[405233, 778395];183464;0:34:33;362468839;
42;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[776807, 724135];12728;0:1:0;362468839;
43;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[664673, 391827];19457;0:4:3;362468839;
44;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[453622, 388721];25564;0:2:1;362468839;
45;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[343966, 150365];282309;0:47:46;362468839;
46;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[635935, 19811];13362;0:1:0;362468839;
47;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[636699, 866781];59387;0:11:10;362468839;
48;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[559371, 12975];12472;0:1:0;362468839;
49;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[751354, 128699];7462;0:2:1;362468839;
50;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[440161, 872308];121832;0:23:22;362468839;
51;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[587052, 96946];54122;0:9:8;362468839;
52;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[514773, 765921];28837;0:6:5;362468839;
53;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[550445, 444501];25860;0:4:3;362468839;
54;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[776547, 595398];16095;0:2:1;362468839;
55;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[93481, 449623];187252656;0:6364:6399;379681455;
56;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[600891, 83522];22477;0:8:7;379681455;
57;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[939494, 464747];7229;0:2:1;379681455;
58;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[791421, 670701];14467;0:1:0;379681455;
59;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[509002, 596994];26581;0:1:0;379681455;
60;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[576491, 202931];30685;0:5:4;379681455;
61;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[756783, 456650];16323;0:2:1;379681455;
62;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[738878, 492718];9932;0:3:2;379681455;
63;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[488257, 256720];32033;0:2:1;379681455;
64;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[370980, 839324];170949;0:28:27;379681455;
65;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[235895, 379684];625011;0:122:121;379681455;
66;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[713661, 505779];20618;0:2:1;379681455;
67;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[945322, 766828];5386;0:1:0;379681455;
68;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[158997, 967525];4632851;0:637:637;385088959;
69;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[45956, 131033];132764216;0:5509:5534;379473519;
70;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[775465, 471172];15137;0:1:0;379473519;
71;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[962518, 45671];4977;0:1:0;379473519;
72;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[648687, 71717];25066;0:12:11;379473519;
73;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[761379, 420251];18898;0:3:2;379473519;
74;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[921692, 852750];4765;0:1:0;379473519;
75;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[419726, 737734];136571;0:22:21;380554839;
76;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[665687, 476504];12570;0:1:0;380554839;
77;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[155648, 698918];1491697;0:265:264;381636167;
78;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[615682, 559279];15746;0:2:1;381636167;
79;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[363767, 596083];75172;0:12:11;381636167;
80;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[364866, 622626];240283;0:37:36;381636167;
81;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[963667, 821067];4977;0:1:0;381636167;
82;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[827458, 531826];13294;0:1:0;381636167;
83;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[387358, 402218];96349;0:17:16;381636167;
84;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[651833, 400582];13256;0:1:0;381636167;
85;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[7206, 360167];1927813329743;7:181190:409673;364955975;
86;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[794018, 914453];40359;0:2:1;364955975;
87;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[537178, 974129];72452;0:9:8;364955975;
88;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[646266, 905473];132020;0:19:18;364955975;
89;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[827980, 758444];13562;0:1:0;364955975;
90;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[956196, 796510];13076;0:1:0;364955975;
91;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[520589, 63328];161574;0:24:23;366037471;
92;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[269072, 226311];486995;0:65:64;366037471;
93;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[222884, 734317];31470;0:2:1;366037471;
94;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[779134, 764802];33478;0:4:3;366037471;
95;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[230526, 191635];512049;0:73:72;366037471;
96;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[285419, 133113];129496;0:20:19;366037471;
