id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1329725860;DONE;12207792;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];518446477;DONE;46040039;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];15633;DONE;46040039;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3512537205;DONE;19802511;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1806428354;DONE;24947303;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];3048901508142;DONE;461681335;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];4982589323;DONE;463452071;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3915817390;DONE;34409767;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];77317946;DONE;36324671;
9;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[628712, 592674];213394112;0:3:2;440029231;
10;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[298364, 802190];152418;0:8:7;440029231;
11;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[160604, 317318];24096082;0:945:946;449748815;
12;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[664472, 112177];160671;0:10:9;449748815;
13;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[167395, 7004];89709618;0:617:616;405567911;
14;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[213966, 408868];4090235;0:353:352;407727591;
15;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[998285, 484178];12800;0:1:0;407727591;
16;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[543875, 341657];19554;0:1:0;407727591;
17;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[210374, 332072];946205;0:92:91;407727591;
18;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[371473, 427171];132325;0:12:11;407727591;
19;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[610191, 501509];55060;0:6:5;407727591;
