operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;5.7363518166666664E7;5164083.988063934;4.8402706E7;6.5128382E7;
OperationGetManyVertices;5.02346771875E7;1.3743267510706693E8;819591.0;5.34159195E8;
OperationShutdownGraph;7.531882376666666E8;1.1414130800539118E8;4.46977939E8;9.44198622E8;
OperationDoGC;6.074783858666667E9;1.189188476805598E9;5.619521992E9;1.0005249172E10;
OperationGetManyVertexProperties;1.2612123625E7;1.053447057065637E7;3506154.0;3.8619569E7;
OperationGetManyEdges;2.17775813E8;8.228400335734206E8;2160873.0;3.404603299E9;
OperationGetManyEdgeProperties;2.43171353125E7;2.6036406208828893E7;5139985.0;8.5741996E7;
OperationGetFirstNeighbor;326377.480125;5460422.5568727255;2490.0;1.72145951E8;
OperationGetRandomNeighbor;139622.2868125;1433261.0137218223;2724.0;5.9763011E7;
OperationGetAllNeighbors;409370.258375;9049441.84862333;2433.0;3.10029986E8;
OperationGetKFirstNeighbors;184503.3575625;1643549.0029945252;2275.0;4.6907614E7;
OperationGetKRandomNeighbors;189666.8693125;1812249.2792419535;2559.0;5.6161605E7;
OperationGetKHopNeighbors;783682.2398125;1.141018492526949E7;2596.0;3.59364714E8;
OperationGlobalClusteringCoefficient;3.8431735965046875E12;5077224.783943117;3.843164693726E12;3.843180276492E12;
OperationNetworkAverageClusteringCoefficient;1.179202713525125E12;1.6123704407624796E7;1.179177676953E12;1.179229512707E12;
