operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     52.023            9.930        39.292          72.538    
OperationGetManyVertices                               17.760           74.355         0.825         423.945    
OperationShutdownGraph                                811.681           83.789       633.426         996.438    
OperationDoGC                                        6322.841         1796.428      5680.974       12272.827    
OperationGetManyVertexProperties                       25.349           35.118         2.596         184.515    
OperationGetManyEdges                                  71.408          365.855         1.574        2108.172    
OperationGetManyEdgeProperties                         27.403           24.892         5.157          99.891    
OperationGetFirstNeighbor                               0.226            3.018         0.002         128.395    
OperationGetRandomNeighbor                              0.215            2.572         0.002         111.174    
OperationGetAllNeighbors                                0.335            6.130         0.002         317.626    
OperationGetKFirstNeighbors                             0.215            2.310         0.002         223.789    
OperationGetKRandomNeighbors                            0.301            2.899         0.002         112.212    
OperationGetKHopNeighbors                               0.840           11.824         0.002        1280.327    
OperationGlobalClusteringCoefficient              4118689.866           40.336   4118633.497     4118751.183    
OperationNetworkAverageClusteringCoefficient      1246589.030           30.950   1246537.181     1246630.188    
