id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];869303384;DONE;14384528;
1;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];11456151;1000;444946615;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];838747683;DONE;446823575;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];6283439731;DONE;158068783;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];55718069;DONE;160223495;
5;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];2572826597;1000;192894447;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];394036875;DONE;193694479;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5608195992;DONE;120095687;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];47924961;DONE;122231623;
9;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];5715536;1000;482094567;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];834721245;DONE;482894599;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5686273851;DONE;138936047;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];44866372;DONE;141087719;
13;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];3507848656;1000;487422535;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];784872140;DONE;488622583;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5726455069;DONE;138936055;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];48286660;DONE;141051279;
17;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[815694];805236;v[902600];147925047;
18;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[850565];74030;DNE;147925047;
19;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[905498];23668;DNE;147925047;
20;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[789433];33757;v[942267];147925047;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[405624];35277;v[851742];147925047;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[681316];33315;v[949833];147925047;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[420229];40672;v[976218];147925047;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[886098];38430;v[968554];147925047;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[136197];57110;v[958056];147925047;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[416131];38442;v[879379];147925047;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[633835];42632;v[954455];147925047;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[584861];36122;v[962893];147925047;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[845694];27497;DNE;147925047;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[268387];28406;DNE;147925047;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[591944];27313;DNE;147925047;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[497200];28883;DNE;149005255;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[635865];28010;DNE;149005255;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[526197];27687;DNE;149005255;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[920917];28548;DNE;149005255;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[151409];49689;v[974899];149005255;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[423949];40462;v[937098];149005255;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[868401];36951;v[909844];149005255;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[630600];39076;v[693227];149005255;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[532090];39966;v[792677];149005255;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[392664];28109;DNE;149005255;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[778759];36166;v[821634];149005255;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[637466];39039;v[714199];149005255;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[421738];41831;v[840783];149005255;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[981269];27108;DNE;149005255;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[911663];36967;v[969503];149005255;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[57954];58722;v[974181];149005255;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[355213];52190;v[884501];149005255;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[257080];44610;v[986719];149005255;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[372998];42254;v[993061];149005255;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[408781];37945;v[783302];149005255;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[623923];46841;v[945562];149005255;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[734368];36851;v[943219];149005255;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[271432];43154;v[859599];149005255;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[469119];41571;v[963314];149005255;
56;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[173717];56925;v[863821];149005255;
57;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[966356];26911;DNE;149005255;
58;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[568225];44910;v[958943];149005255;
59;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[708978];27081;DNE;149005255;
60;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[429015];40600;v[856409];149005255;
61;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[526056];38863;v[537148];149005255;
62;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[207767];41364;v[345867];149005255;
63;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[868780];36119;v[999289];149005255;
64;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[45388];89401;v[927907];149005255;
65;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[313004];45392;v[740448];149005255;
66;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[746412];36817;v[808965];149005255;
67;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[487031];44479;v[999272];149005255;
68;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[343784];36123;v[885736];149005255;
69;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[475461];46044;v[958483];149005255;
70;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[213768];50884;v[982331];149005255;
71;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[916160];29277;DNE;149005255;
72;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[711857];39953;v[956117];149005255;
73;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[621465];39572;v[889499];149005255;
74;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[738444];38042;v[823031];149005255;
