id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];46819346;DONE;22923935;
1;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];23672583;1000;476014983;
2;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];25890573;1000;476540015;
3;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];781081434;DONE;431232919;
4;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];9088462393;DONE;228066807;
5;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];46246726;DONE;229685551;
6;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];20990211;1000;274693871;
7;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];27622143;1000;230997399;
8;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];397594889;DONE;232197447;
9;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5648806554;DONE;120070623;
10;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];54249685;DONE;122073407;
12;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];3847344;1000;418619215;
11;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];2648379;1000;471790359;
13;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];732309937;DONE;472990407;
14;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5786545752;DONE;138904543;
15;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];55319731;DONE;140758575;
16;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];31462430;1000;518173647;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];27646410;1000;524767231;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];812947134;DONE;526070319;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];6127755298;DONE;140707647;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];49285962;DONE;142132087;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[571538];518994;v[970110];183272759;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[317862];35682;v[463278];184675911;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[981586];23285;DNE;184675911;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[59251];46986;v[999455];185377487;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[553556];40706;v[914041];185377487;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[471041];28987;v[752978];186079063;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[454751];26245;DNE;186455679;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[518075];29453;v[882388];187157255;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[906845];27341;v[973909];187157255;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[300242];34204;v[883132];187858831;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[321991];30718;v[738305];187858831;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[552493];27628;v[593307];188560407;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[657058];23093;DNE;188560407;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[443886];29505;v[970843];189261983;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[426409];33250;v[969853];189261983;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[842646];29581;v[842669];189963559;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[834324];22295;DNE;190665135;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[406309];22869;DNE;190665135;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[507236];36373;v[998709];191366711;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[656407];31871;v[736126];191366711;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[218891];35728;v[876565];192068287;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[133989];56477;v[889710];192068287;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[781915];22074;DNE;192769863;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[537162];30569;v[766801];192769863;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[228988];33159;v[822035];193471439;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[599229];27626;v[780877];193471439;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[405582];27526;v[511145];194173015;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[263662];39736;v[715809];194173015;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[852175];21901;DNE;194829271;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[290875];34987;v[903402];194829271;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[153076];88471;v[714716];142220591;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[835501];29791;v[955301];142220591;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[885721];26530;v[944535];143005647;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[258682];31836;v[952400];143005647;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[610974];23594;DNE;143790703;
56;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[687992];22393;DNE;143790703;
57;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[522048];60229;v[876169];143790703;
58;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[761307];31005;v[967548];144575759;
59;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[15794];79870;v[968178];144575759;
60;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[946655];22148;DNE;145360815;
61;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[492047];27722;v[841354];145360815;
62;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[627457];22031;DNE;146145871;
