operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;2.7687225E7;6.722685509814347E7;977976.0;2.15169254E8;
OperationDeleteGraph;9186425.0;0.0;9186425.0;9186425.0;
OperationShutdownGraph;2.7408860933333334E7;6.782202483706889E7;2956.0;2.8081364E8;
OperationDoGC;3.4734999875333333E9;1.1464980846648457E7;3.44553462E9;3.485554013E9;
OperationLoadGraphML-barabasi_1000_5000;9.82568097E8;0.0;9.82568097E8;9.82568097E8;
OperationGetManyVertices;1.276821E7;0.0;1.276821E7;1.276821E7;
OperationGetManyVertexProperties;1.5498823E7;0.0;1.5498823E7;1.5498823E7;
OperationGetManyEdges;1.6120115E7;0.0;1.6120115E7;1.6120115E7;
OperationGetManyEdgeProperties;1.8528254E7;0.0;1.8528254E7;1.8528254E7;
OperationGetFirstNeighbor;41305.927;17427.27497773737;11580.0;117012.0;
OperationGetRandomNeighbor;134037.862;209226.3048229762;9501.0;2696913.0;
OperationGetAllNeighbors;207755.22;265997.9226458875;9750.0;2404144.0;
OperationGetKFirstNeighbors;67583.244;32667.303998623214;12493.0;127745.0;
OperationGetKRandomNeighbors;157806.07;202232.57391175913;11317.0;2299992.0;
OperationGetKHopNeighbors;778570.092;2766549.9284673044;11692.0;5.4533769E7;
OperationGetShortestPath;5634528.56;1.577388639065534E7;11205.0;1.12739912E8;
OperationGlobalClusteringCoefficient;3.932167719E9;0.0;3.932167719E9;3.932167719E9;
OperationNetworkAverageClusteringCoefficient;7.96724824E8;0.0;7.96724824E8;7.96724824E8;
