operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                     27.687           67.227         0.978         215.169    
OperationDeleteGraph                                    9.186            0.000         9.186           9.186    
OperationShutdownGraph                                 27.409           67.822         0.003         280.814    
OperationDoGC                                        3473.500           11.465      3445.535        3485.554    
OperationLoadGraphML-barabasi_1000_5000               982.568            0.000       982.568         982.568    
OperationGetManyVertices                               12.768            0.000        12.768          12.768    
OperationGetManyVertexProperties                       15.499            0.000        15.499          15.499    
OperationGetManyEdges                                  16.120            0.000        16.120          16.120    
OperationGetManyEdgeProperties                         18.528            0.000        18.528          18.528    
OperationGetFirstNeighbor                               0.041            0.017         0.012           0.117    
OperationGetRandomNeighbor                              0.134            0.209         0.010           2.697    
OperationGetAllNeighbors                                0.208            0.266         0.010           2.404    
OperationGetKFirstNeighbors                             0.068            0.033         0.012           0.128    
OperationGetKRandomNeighbors                            0.158            0.202         0.011           2.300    
OperationGetKHopNeighbors                               0.779            2.767         0.012          54.534    
OperationGetShortestPath                                5.635           15.774         0.011         112.740    
OperationGlobalClusteringCoefficient                 3932.168            0.000      3932.168        3932.168    
OperationNetworkAverageClusteringCoefficient          796.725            0.000       796.725         796.725    
