operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1.5469824629629629E7;4.867732215238366E7;1033429.0;1.89674163E8;
OperationDeleteGraph;1.4549133E7;0.0;1.4549133E7;1.4549133E7;
OperationShutdownGraph;1.5584159703703703E7;4.249570526120518E7;3202.0;2.3137939E8;
OperationDoGC;3.477359403E9;8258388.357732909;3.455367257E9;3.494274123E9;
OperationLoadGraphML-barabasi_1000_5000;9.69547213E8;0.0;9.69547213E8;9.69547213E8;
OperationGetManyVertices;1.2310088E7;0.0;1.2310088E7;1.2310088E7;
OperationGetManyVertexProperties;1.5372966E7;0.0;1.5372966E7;1.5372966E7;
OperationGetManyEdges;1.5656753E7;0.0;1.5656753E7;1.5656753E7;
OperationGetManyEdgeProperties;1.7543177E7;0.0;1.7543177E7;1.7543177E7;
OperationGetFirstNeighbor;68371.557;31086.546803058558;11652.0;183604.0;
OperationGetRandomNeighbor;104995.192;124529.25546699918;9471.0;2022279.0;
OperationGetAllNeighbors;151836.751;240545.44715924055;9477.0;3995267.0;
OperationGetKFirstNeighbors;85421.0756;75781.28017449884;8954.0;466647.0;
OperationGetKRandomNeighbors;177326.419;227489.9093351248;9240.0;3058087.0;
OperationGetKHopNeighbors;3207566.4262;1.3324647141559865E7;9837.0;1.35706385E8;
OperationGetShortestPath;5094077.172;1.41191260186451E7;10962.0;1.22769071E8;
OperationGlobalClusteringCoefficient;3.714671161E9;0.0;3.714671161E9;3.714671161E9;
OperationNetworkAverageClusteringCoefficient;7.4709042E8;0.0;7.4709042E8;7.4709042E8;
