operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                      1.560            0.269         1.004           1.950    
OperationGenerateGraph                                497.936            0.000       497.936         497.936    
OperationShutdownGraph                                 14.292           31.421         0.816         170.295    
OperationDoGC                                        3462.017            7.919      3450.049        3476.276    
OperationGetManyVertices                               12.839            0.000        12.839          12.839    
OperationGetManyVertexProperties                       16.520            0.000        16.520          16.520    
OperationGetManyEdges                                  16.985            0.000        16.985          16.985    
OperationGetManyEdgeProperties                         19.229            0.000        19.229          19.229    
OperationGetFirstNeighbor                               0.041            0.017         0.011           0.108    
OperationGetRandomNeighbor                              0.139            0.205         0.009           2.970    
OperationGetAllNeighbors                                0.160            0.222         0.009           3.088    
OperationGetKFirstNeighbors                             0.093            0.781         0.009          55.108    
OperationGetKRandomNeighbors                            0.152            0.196         0.009           3.057    
OperationGetKHopNeighbors                               4.624           16.413         0.009         141.037    
OperationGetShortestPath                               10.934           25.609         0.010         131.118    
OperationGlobalClusteringCoefficient                 4019.785            0.000      4019.785        4019.785    
OperationNetworkAverageClusteringCoefficient          922.049            0.000       922.049         922.049    
