operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1586414.857142857;224792.09629307862;1008543.0;2007266.0;
OperationGenerateGraph;5.78856492E8;0.0;5.78856492E8;5.78856492E8;
OperationShutdownGraph;2.3897563785714287E7;4.0575207954077445E7;3971982.0;1.69257441E8;
OperationDoGC;3.457193856428571E9;4487195.708531121;3.450325528E9;3.466136107E9;
OperationGetManyVertices;1.3652182E7;0.0;1.3652182E7;1.3652182E7;
OperationGetManyVertexProperties;1.7886307E7;0.0;1.7886307E7;1.7886307E7;
OperationGetManyEdges;1.6844913E7;0.0;1.6844913E7;1.6844913E7;
OperationGetManyEdgeProperties;1.9852996E7;0.0;1.9852996E7;1.9852996E7;
OperationGetFirstNeighbor;46282.236;17342.11178427543;12230.0;128784.0;
OperationGetRandomNeighbor;111810.392;104951.6251941738;9787.0;1359131.0;
OperationGetAllNeighbors;185346.502;233938.91753379133;10999.0;4576424.0;
OperationGetKFirstNeighbors;78107.385;34204.83642090361;13122.0;155531.0;
OperationGetKRandomNeighbors;181977.435;233192.05831542762;11292.0;3083937.0;
OperationGetKHopNeighbors;966382.427;1880948.469441192;11943.0;2.7421368E7;
OperationGetShortestPath;1.9831551134E7;3.439340273814586E7;12858.0;1.50367444E8;
OperationGlobalClusteringCoefficient;4.628372728E9;0.0;4.628372728E9;4.628372728E9;
OperationNetworkAverageClusteringCoefficient;1.319568645E9;0.0;1.319568645E9;1.319568645E9;
