operation;bdb-mean;bdb-stdev;bdb-min;bdb-max;
OperationOpenGraph;1631661.9615384615;107667.11201357949;1156797.0;1849930.0;
OperationGenerateGraph;5.62301428E8;0.0;5.62301428E8;5.62301428E8;
OperationShutdownGraph;1.314298826923077E7;2.3818032669691496E7;996797.0;1.30861286E8;
OperationDoGC;3.454103930730769E9;7903769.92935994;3.441136886E9;3.469613491E9;
OperationGetManyVertices;1.3182055E7;0.0;1.3182055E7;1.3182055E7;
OperationGetManyVertexProperties;1.6405055E7;0.0;1.6405055E7;1.6405055E7;
OperationGetManyEdges;1.6571336E7;0.0;1.6571336E7;1.6571336E7;
OperationGetManyEdgeProperties;1.8715193E7;0.0;1.8715193E7;1.8715193E7;
OperationGetFirstNeighbor;48797.331;16270.661099274324;11894.0;102186.0;
OperationGetRandomNeighbor;113860.165;144372.0371769469;9146.0;2025572.0;
OperationGetAllNeighbors;153605.484;169376.34513231693;9328.0;1389208.0;
OperationGetKFirstNeighbors;92234.6016;64434.291751436926;9070.0;2197553.0;
OperationGetKRandomNeighbors;173699.4034;224866.521664752;9294.0;3605435.0;
OperationGetKHopNeighbors;8060281.3404;2.2247863232926503E7;9178.0;1.56638308E8;
OperationGetShortestPath;1.8959610658E7;3.321141294505693E7;11300.0;1.45722775E8;
OperationGlobalClusteringCoefficient;4.841103211E9;0.0;4.841103211E9;4.841103211E9;
OperationNetworkAverageClusteringCoefficient;1.365979619E9;0.0;1.365979619E9;1.365979619E9;
