operation                                       bdb-mean (ms)   bdb-stdev (ms)  bdb-min (ms)    bdb-max (ms)    
OperationOpenGraph                                      1.513            0.297         0.991           1.993    
OperationGenerateGraph                                715.698            0.000       715.698         715.698    
OperationShutdownGraph                                 22.496           41.428         3.969         170.443    
OperationDoGC                                        3460.098            8.642      3448.576        3477.081    
OperationGetManyVertices                               14.155            0.000        14.155          14.155    
OperationGetManyVertexProperties                       17.321            0.000        17.321          17.321    
OperationGetManyEdges                                  16.830            0.000        16.830          16.830    
OperationGetManyEdgeProperties                         18.929            0.000        18.929          18.929    
OperationGetFirstNeighbor                               0.059            0.021         0.012           0.112    
OperationGetRandomNeighbor                              0.117            0.088         0.010           0.830    
OperationGetAllNeighbors                                0.178            0.172         0.010           2.497    
OperationGetKFirstNeighbors                             0.087            0.033         0.014           0.147    
OperationGetKRandomNeighbors                            0.195            0.197         0.012           2.551    
OperationGetKHopNeighbors                               1.016            1.426         0.012          25.549    
OperationGetShortestPath                               41.498           52.004         0.013         162.643    
OperationGlobalClusteringCoefficient                 6349.220            0.000      6349.220        6349.220    
OperationNetworkAverageClusteringCoefficient         2222.670            0.000      2222.670        2222.670    
