id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];311540446;DONE;2192000;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];9412925;DONE;26562887;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];18725;DONE;26562887;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3454718866;DONE;19813287;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];185159209;DONE;20082007;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];1492932820;DONE;49568071;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];210444587;DONE;49568071;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3453153441;DONE;19917639;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1611211;DONE;20949943;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];12593090;1000;42230399;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];8490409;DONE;42230399;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3468843441;DONE;32006279;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1577207;DONE;33014175;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];15598354;1000;56195903;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];25892281;DONE;56195903;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3480240255;DONE;31937751;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1583772;DONE;32945647;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];16986198;1000;58356439;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];10758013;DONE;58356439;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3475695904;DONE;31697047;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1702688;DONE;32747663;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];18156457;1000;62963807;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];10256017;DONE;62963807;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3468796377;DONE;31697295;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1582535;DONE;32770775;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[143];1300061;v[170];44579055;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[646];94176;v[660];44579055;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[818];69315;DNE;44579055;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[107];100359;v[130];44579055;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[563];60815;v[653];44579055;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[291];74156;v[374];44579055;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[520];67587;v[603];44579055;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[605];65267;v[710];44579055;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[695];62693;v[874];44579055;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[893];18347;DNE;44579055;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[813];55366;v[858];44579055;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[157];66830;v[225];44579055;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[218];65502;v[219];44579055;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[711];60983;v[784];44579055;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[716];54504;v[855];44579055;
