id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];47904477;DONE;2190792;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@45b3278a];782928262;addVertex=100:addVertex_ns=37242.52:getVertex=493:getVertex_ns=15019.667342799188:addEdge=500:addEdge_ns=76106.542;81833847;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];224996098;DONE;81833847;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3463599082;DONE;31684063;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1639956;DONE;32540911;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];13654359;1000;56034175;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];7890466;DONE;56034175;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3450671513;DONE;31684327;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1625621;DONE;32541175;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];19470431;1000;62531103;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];9067523;DONE;62531103;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3455536634;DONE;31684607;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1584502;DONE;32617727;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];17215476;1000;62060479;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];15964012;DONE;62060479;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3441045218;DONE;32040175;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1592851;DONE;33093175;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];19521081;1000;68411247;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];6598518;DONE;68411247;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3453090127;DONE;31647199;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1588131;DONE;32722295;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[87];1335862;v[140];52074023;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1448];125149;v[11];52074023;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1450];58189;v[304];52074023;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1194];111932;v[8];52074023;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[222];100725;v[243];52074023;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[136];101009;v[152];52074023;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[854];56493;DNE;52074023;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[523];94470;v[536];52074023;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[952];34568;DNE;52074023;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[842];22522;DNE;52074023;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[778];40100;DNE;52074023;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1160];99386;v[231];52074023;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1538];89479;v[156];52074023;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1316];110165;v[99];52074023;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1457];77742;v[246];52074023;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1342];90753;v[343];52074023;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[893];34384;DNE;52074023;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[130];88377;v[206];52074023;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1174];87530;v[15];52074023;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[946];88629;v[964];52074023;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[611];110599;v[636];52074023;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1390];102789;v[272];52074023;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[416];105113;v[657];52074023;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1186];94017;v[40];52074023;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[106];87585;v[138];52074023;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[309];106876;v[392];52074023;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[377];101607;v[883];52074023;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[496];101845;v[730];52074023;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1303];86113;v[29];52074023;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[413];90506;v[498];52074023;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1489];102146;v[123];52074023;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[937];24205;DNE;52074023;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1467];90682;v[5];52074023;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[586];103244;v[679];52074023;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[645];85776;v[731];52074023;
56;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1248];90957;v[36];52074023;
57;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[285];104579;v[431];52074023;
58;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[297];90187;v[322];52074023;
59;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[332];93177;v[670];52074023;
60;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[508];94396;v[546];52074023;
61;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[555];97710;v[763];52074023;
62;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1328];94958;v[54];52074023;
63;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[755];40179;DNE;52074023;
64;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[702];95661;v[903];52074023;
65;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[698];91458;v[888];52074023;
66;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[964];35103;DNE;52074023;
67;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[711];89483;v[784];52074023;
68;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[408];71814;v[427];52074023;
