id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];54265060;DONE;2190792;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@1fbbc779];864584190;addVertex=100:addVertex_ns=37811.2:getVertex=489:getVertex_ns=18533.99591002045:addEdge=500:addEdge_ns=77259.478;43131215;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];184412819;DONE;43131215;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3448634752;DONE;32059855;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1599057;DONE;32918423;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];14273681;1000;58675559;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];4734044;DONE;58675559;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3447528215;DONE;31701847;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1001869;DONE;32631095;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];17761856;1000;64225671;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];3926237;DONE;64225671;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3438466384;DONE;31702127;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1572270;DONE;32682311;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];17669711;1000;80166799;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];8617216;DONE;80166799;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3462748129;DONE;31664535;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1671583;DONE;32723399;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];20700704;1000;36163167;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];9730538;DONE;36163167;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3441508452;DONE;31664783;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1582617;DONE;32746031;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[762];854435;DNE;54370991;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1312];1044620;v[3];54370991;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[274];146216;v[564];54370991;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[235];93031;v[265];54370991;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1158];67364;v[28];54370991;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[522];47352;DNE;54370991;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[382];116129;v[514];54370991;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[126];129741;v[157];54370991;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1057];133698;v[243];54370991;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1789];62254;v[139];54370991;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1545];129266;v[53];54370991;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[539];137883;v[669];54370991;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[829];133746;v[952];54370991;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1517];144528;v[35];54370991;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1438];123443;v[28];54370991;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[747];18771;DNE;54370991;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1635];59018;v[779];54370991;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[430];61850;v[575];54370991;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[247];64810;v[283];54370991;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[11];62267;v[12];54370991;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[674];24270;DNE;54370991;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1463];59324;v[222];54370991;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1399];55162;v[223];54370991;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[185];62875;v[194];54370991;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[12];62049;v[14];54370991;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[4];62177;v[5];54370991;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1116];60013;v[199];54370991;
