id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];215169254;DONE;20776007;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];9186425;DONE;20776007;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2956;DONE;20776007;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3445534620;DONE;19596015;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];181563616;DONE;20670823;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];982568097;DONE;47930911;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];280813640;DONE;47930911;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3450550192;DONE;19620975;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1550847;DONE;20695767;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];12768210;1000;42108887;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];4793718;DONE;42108887;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3480549074;DONE;31705999;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];977976;DONE;32732751;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];15498823;1000;55321431;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];11953785;DONE;55321431;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3477293783;DONE;31705959;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1568926;DONE;32732711;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];16120115;1000;54200263;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];7009869;DONE;54200263;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3478709384;DONE;31705999;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1539905;DONE;32768983;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];18528254;1000;64236231;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];9278387;DONE;64236231;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3476205509;DONE;31705967;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1591558;DONE;32782783;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[399];117012;v[523];44627759;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[598];38569;DNE;44627759;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[684];67685;v[744];44627759;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[619];67950;v[645];44627759;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[641];14980;DNE;44627759;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[942];47855;v[967];44627759;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[526];56922;v[632];44627759;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[476];55546;v[781];44627759;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[851];12982;DNE;44627759;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[768];56319;v[831];44627759;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[373];81493;v[514];44627759;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[128];57031;v[155];44627759;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[778];13066;DNE;44627759;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[551];50891;v[629];44627759;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[570];50581;v[750];44627759;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[483];56665;v[537];44627759;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[108];53646;v[190];44627759;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[804];50439;v[939];44627759;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[437];77087;v[480];44627759;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[6];52987;v[7];44627759;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[597];51877;v[727];44627759;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[861];12982;DNE;44627759;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[720];12202;DNE;44627759;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[719];42390;v[886];44627759;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[443];63535;v[495];44627759;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[391];57887;v[421];44627759;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[357];18782;DNE;44627759;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[676];12125;DNE;44627759;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[270];49326;v[351];44627759;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[505];45849;v[570];44627759;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[607];43005;v[747];44627759;
56;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[201];53515;v[454];44627759;
