id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];189674163;DONE;20785551;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];14549133;DONE;20785551;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];3202;DONE;20785551;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3462599017;DONE;19597799;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];185434459;DONE;20672607;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];969547213;DONE;47884071;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];231379390;DONE;47884071;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3455367257;DONE;19622759;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1609554;DONE;20697535;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];12310088;1000;42110527;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];14549996;DONE;42110527;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3475732998;DONE;31707783;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1625863;DONE;32734519;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];15372966;1000;55322951;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];6332181;DONE;55322951;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3486167769;DONE;31707743;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];3109869;DONE;32734479;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];15656753;1000;52078711;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];5833755;DONE;52078711;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3483797854;DONE;31707783;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1602933;DONE;32770751;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];17543177;1000;64216183;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];6798885;DONE;64216183;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3489758683;DONE;31707751;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1883991;DONE;32784559;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[940];37115;DNE;44629447;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[650];98902;v[693];44629447;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[243];57899;v[501];44629447;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[847];13917;DNE;44629447;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[565];18617;DNE;44629447;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[907];12252;DNE;44629447;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[306];67558;v[308];44629447;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[852];62768;v[870];44629447;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[463];69278;v[764];44629447;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[608];66000;v[738];44629447;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[73];49743;v[97];44629447;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[389];48014;v[393];44629447;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[893];11652;DNE;44629447;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[212];47851;v[226];44629447;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[698];41937;v[888];44629447;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[76];49692;v[110];44629447;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[357];17017;DNE;44629447;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[383];45515;v[704];44629447;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[206];42037;v[299];44629447;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[322];47013;v[708];44629447;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[428];48626;v[443];44629447;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[478];71982;v[596];44629447;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[791];17334;DNE;44629447;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[488];16411;DNE;44629447;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[130];73239;v[206];44629447;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[267];69705;v[319];44629447;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[125];79360;v[138];44629447;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[311];74397;v[316];44629447;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[856];71242;v[931];44629447;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[817];32855;DNE;45706263;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[164];80894;v[181];45706263;
56;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[378];64287;v[463];45706263;
57;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[353];71674;v[356];45706263;
58;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[742];76863;v[979];45706263;
59;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[191];85478;v[195];45706263;
