id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1814513;DONE;20700519;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@4d3af084];508113237;addVertex=100:addVertex_ns=34045.55:getVertex=479:getVertex_ns=14593.1503131524:addEdge=500:addEdge_ns=72530.912;48813015;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];209330419;DONE;48813015;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3463565029;DONE;31621047;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2057860;DONE;32624495;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];13621186;1000;51690063;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];12117102;DONE;51690063;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3455071219;DONE;31624239;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1597234;DONE;32627687;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];17022907;1000;57714055;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];8700011;DONE;57714055;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3451282212;DONE;31624239;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1624448;DONE;32627687;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];16488693;1000;80215967;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];4358228;DONE;80215967;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3460083216;DONE;31624279;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1580406;DONE;32685031;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];19476888;1000;84487751;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];7651122;DONE;84487751;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3463183431;DONE;31624247;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1573146;DONE;32699591;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[557];128423;v[965];46679063;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[48];56608;v[54];46679063;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[353];54871;v[356];46679063;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1037];62046;v[28];46679063;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[407];56952;v[857];46679063;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[917];20099;DNE;46679063;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[144];85032;v[235];46679063;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[552];77627;v[861];46679063;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[75];84888;v[86];46679063;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1041];81314;v[23];46679063;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[872];44600;DNE;46679063;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[530];78880;v[545];46679063;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[122];57650;v[152];46679063;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[405];47249;DNE;46679063;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[932];12303;DNE;46679063;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1076];82548;v[31];46679063;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[803];64085;v[875];46679063;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[754];98416;v[944];46679063;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[658];68365;v[735];46679063;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[961];63622;DNE;46679063;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[372];119972;v[497];46679063;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[670];63497;DNE;46679063;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1047];106393;v[343];46679063;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[822];63751;DNE;46679063;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[469];111899;v[511];46679063;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[882];62615;DNE;46679063;
