operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;938475.6;409749.89271095605;693513.0;2437327.0;
OperationDeleteGraph;2185402.0;0.0;2185402.0;2185402.0;
OperationShutdownGraph;9.303474066666667E7;2.998526548868086E8;3293.0;1.21058199E9;
OperationDoGC;3.449309374133333E9;8031835.245462164;3.432416048E9;3.461111946E9;
OperationLoadGraphML-barabasi_1000_5000;2.33080693E8;0.0;2.33080693E8;2.33080693E8;
OperationGetManyVertices;659785.0;0.0;659785.0;659785.0;
OperationGetManyVertexProperties;3065664.0;0.0;3065664.0;3065664.0;
OperationGetManyEdges;937083.0;0.0;937083.0;937083.0;
OperationGetManyEdgeProperties;4971040.0;0.0;4971040.0;4971040.0;
OperationGetFirstNeighbor;30055.605;15602.721484631295;17698.0;443066.0;
OperationGetRandomNeighbor;40275.086;17414.05296864013;16558.0;308414.0;
OperationGetAllNeighbors;38100.802;20435.6668196268;15971.0;351355.0;
OperationGetKFirstNeighbors;44007.963;19844.51882560098;18414.0;392307.0;
OperationGetKRandomNeighbors;44932.512;22156.669742627284;17440.0;553367.0;
OperationGetKHopNeighbors;116350.041;219334.83865398436;17738.0;3891123.0;
OperationGetShortestPath;1365562.784;3486617.110980225;18273.0;2.4231956E7;
OperationGlobalClusteringCoefficient;2.97641567E8;0.0;2.97641567E8;2.97641567E8;
OperationNetworkAverageClusteringCoefficient;8.6446403E7;0.0;8.6446403E7;8.6446403E7;
