operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.938            0.410         0.694           2.437    
OperationDeleteGraph                                    2.185            0.000         2.185           2.185    
OperationShutdownGraph                                 93.035          299.853         0.003        1210.582    
OperationDoGC                                        3449.309            8.032      3432.416        3461.112    
OperationLoadGraphML-barabasi_1000_5000               233.081            0.000       233.081         233.081    
OperationGetManyVertices                                0.660            0.000         0.660           0.660    
OperationGetManyVertexProperties                        3.066            0.000         3.066           3.066    
OperationGetManyEdges                                   0.937            0.000         0.937           0.937    
OperationGetManyEdgeProperties                          4.971            0.000         4.971           4.971    
OperationGetFirstNeighbor                               0.030            0.016         0.018           0.443    
OperationGetRandomNeighbor                              0.040            0.017         0.017           0.308    
OperationGetAllNeighbors                                0.038            0.020         0.016           0.351    
OperationGetKFirstNeighbors                             0.044            0.020         0.018           0.392    
OperationGetKRandomNeighbors                            0.045            0.022         0.017           0.553    
OperationGetKHopNeighbors                               0.116            0.219         0.018           3.891    
OperationGetShortestPath                                1.366            3.487         0.018          24.232    
OperationGlobalClusteringCoefficient                  297.642            0.000       297.642         297.642    
OperationNetworkAverageClusteringCoefficient           86.446            0.000        86.446          86.446    
