operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;829062.925925926;52030.58629229964;720456.0;976339.0;
OperationDeleteGraph;2762806.0;0.0;2762806.0;2762806.0;
OperationShutdownGraph;3.827996040740741E8;1.129089842029429E9;3576.0;5.279418777E9;
OperationDoGC;3.4231928983333335E9;8111273.523640709;3.398116444E9;3.438406925E9;
OperationLoadGraphML-barabasi_1000_5000;2.59371179E8;0.0;2.59371179E8;2.59371179E8;
OperationGetManyVertices;710093.0;0.0;710093.0;710093.0;
OperationGetManyVertexProperties;2007714.0;0.0;2007714.0;2007714.0;
OperationGetManyEdges;873670.0;0.0;873670.0;873670.0;
OperationGetManyEdgeProperties;1895139.0;0.0;1895139.0;1895139.0;
OperationGetFirstNeighbor;44897.499;18913.613611523295;17752.0;314324.0;
OperationGetRandomNeighbor;54252.443;20382.4351758751;19239.0;288269.0;
OperationGetAllNeighbors;31296.363;18108.321002600736;15637.0;322800.0;
OperationGetKFirstNeighbors;48742.9136;31875.582587424746;15298.0;374410.0;
OperationGetKRandomNeighbors;46330.85;25239.94477114966;15721.0;362267.0;
OperationGetKHopNeighbors;442634.8694;1505210.4857130558;15865.0;2.3416239E7;
OperationGetShortestPath;1361621.13;3246620.30081566;1726.0;2.4294E7;
OperationGlobalClusteringCoefficient;2.90548776E8;0.0;2.90548776E8;2.90548776E8;
OperationNetworkAverageClusteringCoefficient;8.2850112E7;0.0;8.2850112E7;8.2850112E7;
