operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.829            0.052         0.720           0.976    
OperationDeleteGraph                                    2.763            0.000         2.763           2.763    
OperationShutdownGraph                                382.800         1129.090         0.004        5279.419    
OperationDoGC                                        3423.193            8.111      3398.116        3438.407    
OperationLoadGraphML-barabasi_1000_5000               259.371            0.000       259.371         259.371    
OperationGetManyVertices                                0.710            0.000         0.710           0.710    
OperationGetManyVertexProperties                        2.008            0.000         2.008           2.008    
OperationGetManyEdges                                   0.874            0.000         0.874           0.874    
OperationGetManyEdgeProperties                          1.895            0.000         1.895           1.895    
OperationGetFirstNeighbor                               0.045            0.019         0.018           0.314    
OperationGetRandomNeighbor                              0.054            0.020         0.019           0.288    
OperationGetAllNeighbors                                0.031            0.018         0.016           0.323    
OperationGetKFirstNeighbors                             0.049            0.032         0.015           0.374    
OperationGetKRandomNeighbors                            0.046            0.025         0.016           0.362    
OperationGetKHopNeighbors                               0.443            1.505         0.016          23.416    
OperationGetShortestPath                                1.362            3.247         0.002          24.294    
OperationGlobalClusteringCoefficient                  290.549            0.000       290.549         290.549    
OperationNetworkAverageClusteringCoefficient           82.850            0.000        82.850          82.850    
