operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.825            0.100         0.599           1.195    
OperationGenerateGraph                                222.214            0.000       222.214         222.214    
OperationShutdownGraph                               2552.461         8397.908         0.255       41479.332    
OperationDoGC                                        3416.389            6.371      3406.914        3433.359    
OperationGetManyVertices                                0.742            0.000         0.742           0.742    
OperationGetManyVertexProperties                        2.080            0.000         2.080           2.080    
OperationGetManyEdges                                   0.907            0.000         0.907           0.907    
OperationGetManyEdgeProperties                          1.877            0.000         1.877           1.877    
OperationGetFirstNeighbor                               0.030            0.013         0.019           0.308    
OperationGetRandomNeighbor                              0.034            0.018         0.017           0.367    
OperationGetAllNeighbors                                0.035            0.020         0.017           0.447    
OperationGetKFirstNeighbors                             0.045            0.029         0.016           0.535    
OperationGetKRandomNeighbors                            0.038            0.019         0.016           0.467    
OperationGetKHopNeighbors                               0.925            2.637         0.017          36.602    
OperationGetShortestPath                                3.648            6.453         0.018          34.337    
OperationGlobalClusteringCoefficient                  366.584            0.000       366.584         366.584    
OperationNetworkAverageClusteringCoefficient          129.686            0.000       129.686         129.686    
