operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;866781.5;79415.85575379228;813588.0;1123254.0;
OperationGenerateGraph;2.44891387E8;0.0;2.44891387E8;2.44891387E8;
OperationShutdownGraph;1.471489350142857E9;5.149898480645456E9;293261.0;2.0036250567E10;
OperationDoGC;3.449669885285714E9;6286505.4033369925;3.442497083E9;3.462897818E9;
OperationGetManyVertices;1134371.0;0.0;1134371.0;1134371.0;
OperationGetManyVertexProperties;2879886.0;0.0;2879886.0;2879886.0;
OperationGetManyEdges;1202838.0;0.0;1202838.0;1202838.0;
OperationGetManyEdgeProperties;1927691.0;0.0;1927691.0;1927691.0;
OperationGetFirstNeighbor;29482.065;14288.594084330854;19687.0;386454.0;
OperationGetRandomNeighbor;39954.381;18866.841426318246;17983.0;391599.0;
OperationGetAllNeighbors;39068.428;23440.31347531033;18122.0;522348.0;
OperationGetKFirstNeighbors;51153.214;21898.130940429688;20658.0;224719.0;
OperationGetKRandomNeighbors;43567.126;23866.967231136096;19449.0;563062.0;
OperationGetKHopNeighbors;129838.001;198891.64340269048;19690.0;3628975.0;
OperationGetShortestPath;5534212.462;7967217.717262467;20423.0;3.3606502E7;
OperationGlobalClusteringCoefficient;4.04043838E8;0.0;4.04043838E8;4.04043838E8;
OperationNetworkAverageClusteringCoefficient;1.51155437E8;0.0;1.51155437E8;1.51155437E8;
