operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.827            0.124         0.539           1.175    
OperationGenerateGraph                                265.244            0.000       265.244         265.244    
OperationShutdownGraph                               1318.160         4623.258         0.291       17984.691    
OperationDoGC                                        3439.896            6.164      3429.514        3455.076    
OperationGetManyVertices                                1.185            0.000         1.185           1.185    
OperationGetManyVertexProperties                        2.248            0.000         2.248           2.248    
OperationGetManyEdges                                   1.016            0.000         1.016           1.016    
OperationGetManyEdgeProperties                          1.956            0.000         1.956           1.956    
OperationGetFirstNeighbor                               0.033            0.014         0.020           0.390    
OperationGetRandomNeighbor                              0.041            0.020         0.018           0.514    
OperationGetAllNeighbors                                0.041            0.024         0.018           0.510    
OperationGetKFirstNeighbors                             0.058            0.021         0.021           0.344    
OperationGetKRandomNeighbors                            0.049            0.022         0.020           0.470    
OperationGetKHopNeighbors                               0.139            0.137         0.020           2.238    
OperationGetShortestPath                                7.537            9.169         0.020          31.424    
OperationGlobalClusteringCoefficient                  492.767            0.000       492.767         492.767    
OperationNetworkAverageClusteringCoefficient          189.330            0.000       189.330         189.330    
