operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;833137.4615384615;43390.47947350695;685439.0;918199.0;
OperationGenerateGraph;2.60464902E8;0.0;2.60464902E8;2.60464902E8;
OperationShutdownGraph;3.4492290228076925E9;1.189814163333506E10;280466.0;5.972931158E10;
OperationDoGC;3.4278777703461537E9;6838175.014584729;3.417623825E9;3.448714486E9;
OperationGetManyVertices;776489.0;0.0;776489.0;776489.0;
OperationGetManyVertexProperties;4401179.0;0.0;4401179.0;4401179.0;
OperationGetManyEdges;2234901.0;0.0;2234901.0;2234901.0;
OperationGetManyEdgeProperties;1811511.0;0.0;1811511.0;1811511.0;
OperationGetFirstNeighbor;31914.285;13019.470008559307;19301.0;342116.0;
OperationGetRandomNeighbor;43580.385;24838.42824710885;16622.0;527741.0;
OperationGetAllNeighbors;56250.097;29512.88440145407;16630.0;519289.0;
OperationGetKFirstNeighbors;56952.1142;36121.90994841714;16208.0;544719.0;
OperationGetKRandomNeighbors;52818.4226;29018.470568367487;16745.0;520896.0;
OperationGetKHopNeighbors;1364457.3626;3225895.055836084;17171.0;4.4728167E7;
OperationGetShortestPath;6842640.326;9085592.9728928;18231.0;3.2154101E7;
OperationGlobalClusteringCoefficient;4.65932404E8;0.0;4.65932404E8;4.65932404E8;
OperationNetworkAverageClusteringCoefficient;1.84729137E8;0.0;1.84729137E8;1.84729137E8;
