id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];28357404;DONE;537832;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];3265203;DONE;24190343;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];13433;DONE;24190343;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3413197774;DONE;19841943;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];696531;DONE;20110663;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];551544504;DONE;27904535;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2929952;DONE;27904535;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3455412718;DONE;19947039;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];961539;DONE;20215759;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1261800;1000;45908471;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];407686;DONE;45908471;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3473745008;DONE;31957583;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];839165;DONE;32226303;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];1952710;1000;44587423;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];286765;DONE;44587423;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3440896311;DONE;32316239;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];640171;DONE;32584959;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];936774;1000;40744703;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];303587;DONE;40744703;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3459828055;DONE;31682711;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];810425;DONE;32351783;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];1835479;1000;42489191;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];318033;DONE;42489191;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3472213754;DONE;31682959;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];812343;DONE;32497215;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1622];304224;DNE;44711055;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1190];283054;v[1202];44711055;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1897];31786;DNE;44711055;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1794];105299;v[1977];44711055;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1861];30295;DNE;44711055;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1934];29783;DNE;44711055;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1438];73899;v[1532];44711055;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1620];40918;v[1668];44711055;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1748];30044;DNE;44711055;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1926];29482;DNE;44711055;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1627];37591;v[1780];44711055;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1831];44889;v[1887];44711055;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1794];46166;v[1977];44711055;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1579];44066;v[1787];44711055;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1870];43642;v[1926];44711055;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1854];45407;v[1973];44711055;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1136];89743;v[1182];44711055;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1153];50265;v[1165];44711055;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1646];46143;v[1648];44711055;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1390];49825;v[1394];44711055;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1542];46915;v[1657];44711055;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1099];53834;v[1110];44711055;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2015];34593;DNE;44711055;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1331];47406;v[1451];44711055;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1914];34872;DNE;44711055;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1127];49979;v[1326];44711055;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1258];46600;v[1311];44711055;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1975];34766;DNE;44711055;
