id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];21244640;DONE;537832;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];3111478;DONE;26165951;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];8159;DONE;26165951;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3391875771;DONE;19511863;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];744287;DONE;19780583;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];436623284;DONE;27574567;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2766359;DONE;27574567;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3388807309;DONE;19616959;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];916329;DONE;19885679;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];2158754;1000;45024151;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];452706;DONE;45024151;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3415731941;DONE;31696271;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];806984;DONE;31964991;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];2007366;1000;44057423;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];252946;DONE;44057423;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3412341715;DONE;31696551;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];739465;DONE;31965271;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];932548;1000;42475887;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];277449;DONE;42475887;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3423412813;DONE;31662175;
