id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];29154662;DONE;537784;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@66c360a5];280262546;addVertex=100:addVertex_ns=12116.05:getVertex=490:getVertex_ns=5723.685714285714:addEdge=500:addEdge_ns=8173.312;40217863;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1604147;DONE;40217863;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3413303174;DONE;31624823;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2445448;DONE;31893543;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];4494637;1000;47210583;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];289189;DONE;47210583;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3403104516;DONE;31625127;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];888761;DONE;31893847;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];2756004;1000;47748327;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];296862;DONE;47748327;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3397964399;DONE;31632591;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];872007;DONE;31901311;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];2941998;1000;59860727;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];316567;DONE;59860727;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3404496487;DONE;31632871;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];862421;DONE;32304631;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];2035224;1000;59139511;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];305259;DONE;59139511;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3410619094;DONE;31633119;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];614795;DONE;32445943;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8357];575216;v[1026];47889599;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1641];196387;v[1650];47889599;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1454];87950;v[1599];47889599;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1214];126273;v[1326];47889599;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1997];39131;DNE;47889599;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1456];142505;v[1636];47889599;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1995];39395;DNE;47889599;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1476];51113;v[1847];47889599;
