id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];35302905;DONE;537784;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@752d7d02];323689319;addVertex=100:addVertex_ns=15342.79:getVertex=487:getVertex_ns=6044.700205338809:addEdge=500:addEdge_ns=8786.776;42492871;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1725931;DONE;42492871;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3446075084;DONE;31720095;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];7246111;DONE;31988815;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];4616565;1000;52411535;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];309673;DONE;52411535;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3435068633;DONE;31720399;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];819867;DONE;31989119;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];5192509;1000;52411839;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];339177;DONE;52411839;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3433740640;DONE;31727863;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];863917;DONE;31996583;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];3139960;1000;82131991;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];348207;DONE;82131991;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3436928906;DONE;31728143;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];818792;DONE;32540959;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];2061534;1000;80618591;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];299875;DONE;80618591;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3455501443;DONE;31659175;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];968350;DONE;32626543;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8843];617411;v[1708];52941271;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1128];266490;v[1324];52941271;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1243];145817;v[1416];52941271;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8785];44030;v[8350];52941271;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1985];39274;DNE;52941271;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1747];32957;DNE;52941271;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8410];43168;v[1906];52941271;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8858];42346;v[1025];52941271;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1267];47168;v[1641];52941271;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1893];32876;DNE;52941271;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8488];42825;v[1063];52941271;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8673];51580;v[1521];52941271;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8414];49910;v[1272];52941271;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1998];38477;DNE;52941271;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1114];57081;v[1414];52941271;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8238];54979;v[1924];52941271;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1053];65603;v[1054];52941271;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1484];50896;v[1724];52941271;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8795];52103;v[1597];52941271;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1779];39426;DNE;52941271;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1907];39309;DNE;52941271;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8783];50666;v[1092];52941271;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1299];54671;v[1431];52941271;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1664];54367;v[1895];52941271;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8545];52832;v[1156];52941271;
