id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1112008;DONE;20842935;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];2185402;DONE;20842935;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];3293;DONE;20842935;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3432416048;DONE;19588351;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];693513;DONE;20663159;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];233080693;DONE;27112079;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2658770;DONE;27112079;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3436486619;DONE;19613071;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];867771;DONE;20687879;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];659785;1000;45593687;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];446284;DONE;45593687;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3459100665;DONE;31698175;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];844962;DONE;32772983;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];3065664;1000;44595871;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];359844;DONE;44595871;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3455467852;DONE;31698175;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];775279;DONE;32772983;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];937083;1000;42372447;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];375043;DONE;42372447;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3448554851;DONE;31698175;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];883506;DONE;32772983;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];4971040;1000;40822431;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];443711;DONE;40822431;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3453341283;DONE;31698143;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];826503;DONE;32772951;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1212];443066;v[1233];44595839;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1138];31397;v[1169];44595839;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1367];27964;v[1443];44595839;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1321];113914;v[1346];44595839;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1093];31433;v[1094];44595839;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1638];25303;v[1876];44595839;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1475];28657;v[1525];44595839;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1696];18011;DNE;44595839;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1686];17908;DNE;44595839;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1409];27606;v[1519];44595839;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1921];25120;v[1947];44595839;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1198];26515;v[1506];44595839;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1904];24758;v[1938];44595839;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1879];17858;DNE;44595839;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1079];34641;v[1099];44595839;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1424];25780;v[1523];44595839;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1949];18251;DNE;44595839;
