id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];976339;DONE;20818279;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];2762806;DONE;20818279;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];3576;DONE;20818279;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3402535719;DONE;19567815;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];720456;DONE;20642623;
5;OperationLoadGraphML-barabasi_1000_5000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[/home/pmacko/Projects/tinkubator/graphdb-bench/data/datasets/barabasi_1000_5000.graphml];259371179;DONE;27091543;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];2541755;DONE;27091543;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3398116444;DONE;19592535;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];825812;DONE;20667343;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];710093;1000;45573151;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];292294;DONE;45573151;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3429462428;DONE;31677639;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];834680;DONE;32752447;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];2007714;1000;44575335;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];260057;DONE;44575335;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3424995252;DONE;31677639;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];798618;DONE;32752447;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];873670;1000;43636063;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];289550;DONE;43636063;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3414662755;DONE;31677639;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];915831;DONE;32752447;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];1895139;1000;41125055;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];271030;DONE;41125055;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3428232180;DONE;31677607;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];805812;DONE;32752415;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1142];314324;v[1187];44575303;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1580];111298;v[1831];44575303;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1650];26406;v[1757];44575303;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1076];29783;v[1089];44575303;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1125];29063;v[1223];44575303;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1584];29023;v[1591];44575303;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1776];24976;v[1873];44575303;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1267];29422;v[1641];44575303;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1422];27102;v[1429];44575303;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1619];18153;DNE;44575303;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1265];27642;v[1322];44575303;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1835];18444;DNE;44575303;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1065];30688;v[1076];44575303;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1926];18074;DNE;44575303;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1688];18290;DNE;44575303;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1226];27696;v[1254];44575303;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1761];77839;v[2017];44575303;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1551];25926;v[1557];44575303;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1143];27201;v[1175];44575303;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1857];25016;v[1944];44575303;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1028];36073;v[1034];44575303;
46;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1137];28019;v[1286];44575303;
47;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1783];17950;DNE;44575303;
48;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1524];28682;v[1556];44575303;
49;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1931];18482;DNE;44575303;
50;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1771];18312;DNE;44575303;
51;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1668];28075;v[1849];44575303;
52;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1224];28293;v[1265];44575303;
53;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1802];18312;DNE;44575303;
54;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[2016];17752;DNE;44575303;
55;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1204];28807;v[1321];44575303;
56;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1074];31341;v[1123];44575303;
57;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1667];18512;DNE;44575303;
58;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1824];26233;v[1958];44575303;
59;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1120];29307;v[1159];44575303;
60;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1559];18072;DNE;44575303;
61;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1494];25195;v[1696];44575303;
62;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1787];24847;v[1813];44575303;
