id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];871965;DONE;20758311;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@3d31f2b4];251255251;addVertex=100:addVertex_ns=3377.06:getVertex=489:getVertex_ns=1939.0940695296524:addEdge=500:addEdge_ns=11440.14;41176959;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1019639;DONE;41176959;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3422475433;DONE;31617751;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];825657;DONE;32692559;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];721852;1000;48814679;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];274673;DONE;48814679;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3424231574;DONE;31617751;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];947036;DONE;32692559;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];2793599;1000;48814679;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];274142;DONE;48814679;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3420497484;DONE;31617751;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];815379;DONE;32692559;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];1126141;1000;62787999;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];306147;DONE;62787999;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3415105887;DONE;31617751;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];610376;DONE;32692551;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];2041781;1000;64271119;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];291209;DONE;64271119;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3424788441;DONE;31617719;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];841722;DONE;32692511;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1347];307713;v[1461];48814391;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8433];145236;v[1270];48814391;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1092];97085;v[1107];48814391;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8431];27117;v[1187];48814391;
