id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];837509;DONE;20765039;
1;OperationGenerateGraph;com.tinkerpop.bench.operation.operations.OperationGenerateGraph;[com.tinkerpop.bench.generator.SimpleBarabasiGenerator@67a1f370];243251298;addVertex=100:addVertex_ns=3317.46:getVertex=490:getVertex_ns=1615.4510204081632:addEdge=500:addEdge_ns=7726.022;44418367;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];884742;DONE;44418367;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3455820402;DONE;31691239;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1146170;DONE;32766047;
5;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];1197443;1000;57486631;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];336724;DONE;57486631;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3465222250;DONE;31694471;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];853993;DONE;32769279;
9;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];3902849;1000;56415063;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];284005;DONE;56415063;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3448510299;DONE;31694471;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];918027;DONE;32769279;
13;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];1079176;1000;45989255;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];278882;DONE;45989255;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3444230798;DONE;31694471;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];833681;DONE;32769279;
17;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];2995492;1000;43569799;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];315866;DONE;43569799;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3458950110;DONE;31694439;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];790676;DONE;32769247;
21;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1640];351494;v[1867];56415023;
22;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8280];220872;v[1471];56415023;
23;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1659];48462;DNE;56415023;
24;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1926];19935;DNE;56415023;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1296];214926;v[1386];56415023;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8594];29394;v[8584];56415023;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8466];27411;v[1957];56415023;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1785];36555;v[1836];56415023;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1085];40120;v[1240];56415023;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[9129];32696;v[1730];56415023;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8791];32914;v[1754];56415023;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8926];32732;v[1218];56415023;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1393];36755;v[1533];56415023;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1285];34922;v[1471];56415023;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[9147];33851;v[1298];56415023;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[1692];24208;DNE;56415023;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8516];32973;v[1546];56415023;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8718];34612;v[1070];56415023;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8704];32680;v[8629];56415023;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8454];32888;v[8390];56415023;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8609];34679;v[1258];56415023;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[8288];32495;v[1513];56415023;
