operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;2.4767685666666668E7;6.190958191405791E7;1030434.0;2.16452305E8;
OperationDeleteGraph;2629938.0;0.0;2629938.0;2629938.0;
OperationShutdownGraph;1.12183096E7;3.933897776115388E7;2803.0;1.58400141E8;
OperationDoGC;3.4643992814E9;6791762.625097109;3.449976084E9;3.478370361E9;
OperationLoadGraphML-barabasi_1000_5000;3.6129774E8;0.0;3.6129774E8;3.6129774E8;
OperationGetManyVertices;1421237.0;0.0;1421237.0;1421237.0;
OperationGetManyVertexProperties;2.8963605E7;0.0;2.8963605E7;2.8963605E7;
OperationGetManyEdges;3754646.0;0.0;3754646.0;3754646.0;
OperationGetManyEdgeProperties;2.4446464E7;0.0;2.4446464E7;2.4446464E7;
OperationGetFirstNeighbor;24729.827;8304.21358185536;11563.0;109896.0;
OperationGetRandomNeighbor;33205.795;17929.317290152878;9669.0;367686.0;
OperationGetAllNeighbors;37835.173;27867.65288658285;9380.0;308200.0;
OperationGetKFirstNeighbors;28923.807;11597.433976348;12250.0;64960.0;
OperationGetKRandomNeighbors;34936.271;20834.706791062825;11240.0;205988.0;
OperationGetKHopNeighbors;130072.381;359631.35487709893;11130.0;4872930.0;
OperationGetShortestPath;1172618.1;3193631.1020554686;11968.0;2.3112788E7;
OperationGlobalClusteringCoefficient;4.12859593E8;0.0;4.12859593E8;4.12859593E8;
OperationNetworkAverageClusteringCoefficient;9.2886399E7;0.0;9.2886399E7;9.2886399E7;
