operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                     24.768           61.910         1.030         216.452    
OperationDeleteGraph                                    2.630            0.000         2.630           2.630    
OperationShutdownGraph                                 11.218           39.339         0.003         158.400    
OperationDoGC                                        3464.399            6.792      3449.976        3478.370    
OperationLoadGraphML-barabasi_1000_5000               361.298            0.000       361.298         361.298    
OperationGetManyVertices                                1.421            0.000         1.421           1.421    
OperationGetManyVertexProperties                       28.964            0.000        28.964          28.964    
OperationGetManyEdges                                   3.755            0.000         3.755           3.755    
OperationGetManyEdgeProperties                         24.446            0.000        24.446          24.446    
OperationGetFirstNeighbor                               0.025            0.008         0.012           0.110    
OperationGetRandomNeighbor                              0.033            0.018         0.010           0.368    
OperationGetAllNeighbors                                0.038            0.028         0.009           0.308    
OperationGetKFirstNeighbors                             0.029            0.012         0.012           0.065    
OperationGetKRandomNeighbors                            0.035            0.021         0.011           0.206    
OperationGetKHopNeighbors                               0.130            0.360         0.011           4.873    
OperationGetShortestPath                                1.173            3.194         0.012          23.113    
OperationGlobalClusteringCoefficient                  412.860            0.000       412.860         412.860    
OperationNetworkAverageClusteringCoefficient           92.886            0.000        92.886          92.886    
