operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1.4064485851851853E7;4.7049131543148056E7;684739.0;2.07771284E8;
OperationDeleteGraph;3386788.0;0.0;3386788.0;3386788.0;
OperationShutdownGraph;6846448.592592592;3.1354556146478698E7;2230.0;1.6670196E8;
OperationDoGC;3.4875371246296296E9;1.1661074423730647E7;3.460746546E9;3.527137057E9;
OperationLoadGraphML-barabasi_1000_5000;3.45241661E8;0.0;3.45241661E8;3.45241661E8;
OperationGetManyVertices;1477212.0;0.0;1477212.0;1477212.0;
OperationGetManyVertexProperties;2.1013079E7;0.0;2.1013079E7;2.1013079E7;
OperationGetManyEdges;3445863.0;0.0;3445863.0;3445863.0;
OperationGetManyEdgeProperties;2.3982437E7;0.0;2.3982437E7;2.3982437E7;
OperationGetFirstNeighbor;27976.011;8604.564963603858;11025.0;124058.0;
OperationGetRandomNeighbor;38912.046;28719.884222536202;8343.0;493321.0;
OperationGetAllNeighbors;32467.783;35754.246226426185;10438.0;620924.0;
OperationGetKFirstNeighbors;27668.8314;15961.244997974738;8123.0;112671.0;
OperationGetKRandomNeighbors;39028.9436;47630.89680565358;8367.0;2510360.0;
OperationGetKHopNeighbors;434444.521;1555399.6702164637;8448.0;1.7228508E7;
OperationGetShortestPath;1117214.266;2865265.2635912783;9721.0;2.1345397E7;
OperationGlobalClusteringCoefficient;4.19686184E8;0.0;4.19686184E8;4.19686184E8;
OperationNetworkAverageClusteringCoefficient;1.04013337E8;0.0;1.04013337E8;1.04013337E8;
