operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                     14.064           47.049         0.685         207.771    
OperationDeleteGraph                                    3.387            0.000         3.387           3.387    
OperationShutdownGraph                                  6.846           31.355         0.002         166.702    
OperationDoGC                                        3487.537           11.661      3460.747        3527.137    
OperationLoadGraphML-barabasi_1000_5000               345.242            0.000       345.242         345.242    
OperationGetManyVertices                                1.477            0.000         1.477           1.477    
OperationGetManyVertexProperties                       21.013            0.000        21.013          21.013    
OperationGetManyEdges                                   3.446            0.000         3.446           3.446    
OperationGetManyEdgeProperties                         23.982            0.000        23.982          23.982    
OperationGetFirstNeighbor                               0.028            0.009         0.011           0.124    
OperationGetRandomNeighbor                              0.039            0.029         0.008           0.493    
OperationGetAllNeighbors                                0.032            0.036         0.010           0.621    
OperationGetKFirstNeighbors                             0.028            0.016         0.008           0.113    
OperationGetKRandomNeighbors                            0.039            0.048         0.008           2.510    
OperationGetKHopNeighbors                               0.434            1.555         0.008          17.229    
OperationGetShortestPath                                1.117            2.865         0.010          21.345    
OperationGlobalClusteringCoefficient                  419.686            0.000       419.686         419.686    
OperationNetworkAverageClusteringCoefficient          104.013            0.000       104.013         104.013    
