operation                                       dup-mean (ms)   dup-stdev (ms)  dup-min (ms)    dup-max (ms)    
OperationOpenGraph                                      1.194            0.091         1.072           1.469    
OperationGenerateGraph                                269.671            0.000       269.671         269.671    
OperationShutdownGraph                                  9.413           32.069         0.086         125.027    
OperationDoGC                                        3454.128            6.629      3441.005        3464.651    
OperationGetManyVertices                                1.659            0.000         1.659           1.659    
OperationGetManyVertexProperties                       18.317            0.000        18.317          18.317    
OperationGetManyEdges                                   5.961            0.000         5.961           5.961    
OperationGetManyEdgeProperties                         22.035            0.000        22.035          22.035    
OperationGetFirstNeighbor                               0.020            0.007         0.012           0.087    
OperationGetRandomNeighbor                              0.043            0.020         0.009           0.196    
OperationGetAllNeighbors                                0.041            0.034         0.009           0.335    
OperationGetKFirstNeighbors                             0.024            0.006         0.012           0.090    
OperationGetKRandomNeighbors                            0.032            0.019         0.011           0.221    
OperationGetKHopNeighbors                               0.125            0.216         0.011           2.974    
OperationGetShortestPath                                4.061            6.513         0.012          23.784    
OperationGlobalClusteringCoefficient                  530.965            0.000       530.965         530.965    
OperationNetworkAverageClusteringCoefficient          160.993            0.000       160.993         160.993    
