operation;dup-mean;dup-stdev;dup-min;dup-max;
OperationOpenGraph;1211462.3461538462;302109.4579442692;772469.0;2612981.0;
OperationGenerateGraph;3.00551354E8;0.0;3.00551354E8;3.00551354E8;
OperationShutdownGraph;6385585.884615385;2.920702954134073E7;87139.0;1.52386952E8;
OperationDoGC;3.4539197855E9;6909965.413532341;3.444338788E9;3.468986497E9;
OperationGetManyVertices;1555275.0;0.0;1555275.0;1555275.0;
OperationGetManyVertexProperties;2.0295211E7;0.0;2.0295211E7;2.0295211E7;
OperationGetManyEdges;6274537.0;0.0;6274537.0;6274537.0;
OperationGetManyEdgeProperties;2.1385932E7;0.0;2.1385932E7;2.1385932E7;
OperationGetFirstNeighbor;18590.175;5171.10495894013;10196.0;118254.0;
OperationGetRandomNeighbor;34219.624;21278.0551220882;8026.0;294480.0;
OperationGetAllNeighbors;49289.385;45783.85069834972;8513.0;905525.0;
OperationGetKFirstNeighbors;29325.8332;16332.029079724822;7984.0;105354.0;
OperationGetKRandomNeighbors;48004.1112;45819.95648146378;8092.0;810164.0;
OperationGetKHopNeighbors;1180077.077;3012903.3710476886;8152.0;2.0850828E7;
OperationGetShortestPath;4474107.13;7020004.462900378;9875.0;2.5257741E7;
OperationGlobalClusteringCoefficient;5.67897396E8;0.0;5.67897396E8;5.67897396E8;
OperationNetworkAverageClusteringCoefficient;1.84864884E8;0.0;1.84864884E8;1.84864884E8;
